"Bus Number	Bus Yard	Bus Type	Bus Yard Address	Bus Yard Latitude	Bus Yard Longitude											"			
"B286	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B552	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B553	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B554	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B555	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B556	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B557	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"HS084	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS085	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS086	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS087	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS088	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS089	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS090	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS095	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS100	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS101	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS102	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS103	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS104	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS117	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS118	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS119	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS120	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS121	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS126	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS127	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS128	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS129	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS130	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS131	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS132	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS133	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS134	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS135	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS136	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS137	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS140	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS142	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS143	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS144	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS145	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS146	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS147	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS148	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS149	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS150	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS151	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS152	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS153	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS154	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS155	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS156	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS157	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS158	Ctwn	HS	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"HS159	Ctwn	HS	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"HS160	Ctwn	HS	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"HS161	Ctwn	HS	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"HS162	Ctwn	HS	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"HS163	Ctwn	HS	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"HS164	Ctwn	HS	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"HS165	Ctwn	HS	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"HS166	Ctwn	HS	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"HS167	Ctwn	HS	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"HS168	Ctwn	HS	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"HS169	Ctwn	HS	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"HS170	Ctwn	HS	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"HS171	Ctwn	HS	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"HS172	Ctwn	HS	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"HS173	Ctwn	HS	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"HS174	Ctwn	HS	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"HS175	Ctwn	HS	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"HS176	Ctwn	HS	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"HS177	Ctwn	HS	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"HS178	Ctwn	HS	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"HS179	Ctwn	HS	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"HS180	Ctwn	HS	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"HS181	Ctwn	HS	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"HS182	Ctwn	HS	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"HS183	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS184	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS185	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS186	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS187	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS188	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS189	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS190	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS191	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS192	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS193	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS194	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS195	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS196	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS197	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS198	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS199	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS200	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS201	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS202	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS203	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS204	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS205	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS206	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS207	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS208	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS209	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS210	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS211	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS212	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS213	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS214	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS215	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS216	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS217	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS218	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS219	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS220	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS221	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS222	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS223	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS224	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS225	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS226	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS227	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS228	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS229	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS230	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS231	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS232	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS233	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS234	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS235	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS236	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS237	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS238	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS239	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS240	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS241	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS242	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS243	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS244	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS245	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS246	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS247	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS248	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS249	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS250	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS251	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS252	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS253	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS254	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS255	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS256	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS257	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS258	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS259	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS260	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS261	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS262	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS263	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS264	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS265	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS266	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS267	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS268	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS269	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS270	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS271	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS272	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS273	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS274	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS275	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS276	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS277	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS278	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS279	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS280	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS281	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS282	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS283	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS284	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS285	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS286	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS287	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS288	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS289	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS290	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS291	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS292	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS293	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS294	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS295	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS296	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS297	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS298	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS299	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS300	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS301	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS302	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS303	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS304	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS305	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS306	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS307	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS308	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS309	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS310	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS311	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS312	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS313	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS314	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS315	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS316	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS317	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS318	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS319	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS320	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS321	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS322	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS323	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS324	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS325	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS326	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS327	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS328	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS329	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS330	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS331	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS332	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS333	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS334	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS335	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS336	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS337	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS338	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS339	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS340	Frpt	HS	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"HS341	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS342	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS343	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS344	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS345	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS346	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS347	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS348	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS349	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS350	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS351	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS352	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS353	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS354	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS355	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS356	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS357	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS358	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS359	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS360	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS361	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS362	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS363	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS364	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS365	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS366	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS367	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"HS368	Read	HS	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
